"r","se","df","Paper","study","predictor","outcome","h","suffix","Study","es_table"
0.19,0.089112586523583,118,"Ronay 2019",3,"Overconfidence","Leadership suitability",1,"","Ronay 2019 S3","*r*(118) = .19"
0.18,0.0894546516445886,118,"Ronay 2019",3,"Overconfidence","Competence",1,"","Ronay 2019 S3","*r*(118) = .18"
0.4,0.0332298864294279,640,"Ronay 2019",4,"Confidence","Competence",1,"","Ronay 2019 S4","*r*(640) = .40"
0.39,0.0335424055994189,640,"Ronay 2019",4,"Confidence","Voting intention",1,"","Ronay 2019 S4","*r*(640) = .39"
0.35,0.117260869889076,57,"Sniezek 2001",1,"Confidence","Trust",1,"","Sniezek 2001 S1","*r*(57) = .35"
0.25,0.204579272096243,22,"Tenney 2007",1,"Calibration","Credibility",2,"","Tenney 2007 S1","*r*(22) = .25"
0.1,0.069484378228016,204,"Tenney 2007",2,"Calibration","Credibility",2,"","Tenney 2007 S2","*r*(204) = .10"
0.57,0.0469226936433104,208,"Tenney 2008",2,"Calibration","Credibility",2,"","Tenney 2008 S2","*r*(208) = .57"
0.12,0.0807434980863566,150,"Tenney 2011",1,"Calibration","Value to the team",2,"","Tenney 2011 S1","*r*(150) = .12"
0.14,0.0466857142857143,442,"Tenney 2019",1,"Calibration","Desirability",2,"A","Tenney 2019 S1A","*r*(442) = .14"
0.11,0.0470428571428571,442,"Tenney 2019",1,"Calibration","Trust",2,"A","Tenney 2019 S1A","*r*(442) = .11"
0.17,0.0462428571428571,442,"Tenney 2019",1,"Calibration","Willingness to collaborate",2,"A","Tenney 2019 S1A","*r*(442) = .17"
0.15,0.046547619047619,442,"Tenney 2019",1,"Calibration","Willingness to follow",2,"A","Tenney 2019 S1A","*r*(442) = .15"
0.15,0.0554289397638459,312,"Tenney 2019",1,"Calibration","Desirability",2,"B","Tenney 2019 S1B","*r*(312) = .15"
0.13,0.0557464866310351,312,"Tenney 2019",1,"Calibration","Trust",2,"B","Tenney 2019 S1B","*r*(312) = .13"
0.15,0.0554289397638459,312,"Tenney 2019",1,"Calibration","Willingness to collaborate",2,"B","Tenney 2019 S1B","*r*(312) = .15"
0.08,0.0563418870070151,312,"Tenney 2019",1,"Calibration","Willingness to follow",2,"B","Tenney 2019 S1B","*r*(312) = .08"
0.35,0.120533894864975,54,"Van Swol 2005",1,"Confidence","Advice-taking",1,"","Van Swol 2005 S1","*r*(54) = .35"
0.27,0.0913498773786116,104,"Wang 2018a",1,"Humility","Psychological safety",2,"","Wang 2018a S1","*r*(104) = .27"
0.42,0.0571063852013873,209,"Wang 2018b",1,"Humility","Power",2,"","Wang 2018b S1","*r*(209) = .42"
0.24,0.0669734516978424,199,"Wang 2018b",1,"Humility","Power",2,"","Wang 2018b S1","*r*(199) = .24"
-0.15,0.0543895549182977,324,"Zapata 2019",1,"Humility","Agency",2,"","Zapata 2019 S1","*r*(324) = -.15"
0.01,0.055635924258625,324,"Zapata 2019",1,"Humility","Communality",2,"","Zapata 2019 S1","*r*(324) = .01"
0.05,0.0553313445734666,326,"Zapata 2019",1,"Humility","Effectiveness",2,"","Zapata 2019 S1","*r*(326) = .05"
-0.14,0.0552392820890558,316,"Zapata 2019",2,"Humility","Ability",2,"","Zapata 2019 S2","*r*(316) = -.14"
0.01,0.0563379826202029,316,"Zapata 2019",2,"Humility","Benevolence",2,"","Zapata 2019 S2","*r*(316) = .01"
0,0.0563436169819011,316,"Zapata 2019",2,"Humility","Effectiveness",2,"","Zapata 2019 S2","*r*(316) = .00"
-0.15,0.0665104506547377,217,"Zapata 2019",3,"Humility","Agency",2,"","Zapata 2019 S3","*r*(217) = -.15"
0.16,0.0662995223713314,217,"Zapata 2019",3,"Humility","Communality",2,"","Zapata 2019 S3","*r*(217) = .16"
0.06,0.0677964327696989,217,"Zapata 2019",3,"Humility","Effectiveness",2,"","Zapata 2019 S3","*r*(217) = .06"
-0.27,0.0721746371132148,166,"Zapata 2019",4,"Humility","Agency",2,"","Zapata 2019 S4","*r*(166) = -.27"
0.16,0.0758569371190988,166,"Zapata 2019",4,"Humility","Communality",2,"","Zapata 2019 S4","*r*(166) = .16"
-0.02,0.0778187544583858,166,"Zapata 2019",4,"Humility","Effectiveness",2,"","Zapata 2019 S4","*r*(166) = -.02"
-0.21,0.0565235519325964,287,"Zapata 2019",5,"Humility","Agency",2,"","Zapata 2019 S5","*r*(287) = -.21"
0.19,0.0569966018493877,287,"Zapata 2019",5,"Humility","Communality",2,"","Zapata 2019 S5","*r*(287) = .19"
0.03,0.0590780214832692,287,"Zapata 2019",5,"Humility","Effectiveness",2,"","Zapata 2019 S5","*r*(287) = .03"
